employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level
e000001,2014-01-02,,,Male,White,M11
e000002,2014-01-29,2021-07-05,Administrative,Female,White,S2
e000003,2014-01-06,2018-09-13,Administrative,Female,White,IC2
e000004,2014-01-01,2022-12-27,Administrative,Male,Asian,IC4
e000005,2014-01-31,2022-08-26,Administrative,Male,White,IC4
e000006,2014-01-01,2017-06-30,Administrative,Male,White,IC1
e000007,2014-01-09,2022-12-27,Administrative,Male,White,S2
e000008,2014-01-16,2018-02-22,Administrative,Female,Asian,IC3
e000009,2014-01-17,2021-04-26,Administrative,Male,Asian,M4
e000010,2014-01-16,2020-08-18,Administrative,Female,White,S3
e000011,2014-01-14,2020-09-15,Administrative,Female,Black,IC2
e000012,2014-03-05,2018-08-13,Administrative,Female,Black,IC1
e000013,2014-03-31,2017-10-25,Administrative,Female,Asian,S2
e000014,2014-03-07,2021-10-12,Administrative,Male,White,IC4
e000015,2014-03-27,2018-05-15,Administrative,Male,Hispanic,IC3
e000016,2014-03-05,2018-07-24,Administrative,Female,White,S2
e000017,2014-03-20,2021-02-09,Administrative,Male,White,IC3
e000018,2014-03-13,2023-06-05,Administrative,Female,White,IC6
e000019,2014-03-26,2018-10-10,Administrative,Female,White,IC1
e000020,2014-03-10,2019-10-07,Administrative,Female,Black,S3
e000021,2014-04-25,2017-11-16,Production,Male,White,S1
e000022,2014-04-24,2020-02-27,Production,Male,White,IC4
e000023,2014-04-11,2019-05-24,Administrative,Male,Hispanic,M5
e000024,2014-04-09,2020-11-24,Production,Male,Asian,IC2
e000025,2014-04-23,2020-03-05,Administrative,Male,White,S1
e000026,2014-05-29,2018-03-21,Administrative,Male,White,M4
e000027,2014-06-19,2023-08-22,Administrative,Female,Asian,IC5
e000028,2014-06-23,2023-04-18,Administrative,Male,Hispanic,IC4
e000029,2014-06-25,2019-04-16,Administrative,Male,White,IC3
e000030,2014-06-24,2020-11-20,Administrative,Female,White,S3
e000031,2014-08-29,2019-12-06,Sales,Male,White,IC6
e000032,2014-08-26,2020-06-10,Administrative,Male,Black,M4
e000033,2014-08-26,2018-07-09,Administrative,Male,White,IC2
e000034,2014-08-04,2021-04-02,Administrative,Female,Asian,M4
e000035,2014-08-18,2020-05-12,Administrative,Male,White,IC7
e000036,2014-08-20,2018-04-24,Sales,Female,Hispanic,S3
e000037,2014-08-08,2020-11-13,Sales,Female,Black,S1
e000038,2014-08-15,2017-09-22,Production,Male,Asian,IC6
e000039,2014-08-12,2020-03-09,Administrative,Female,White,M4
e000040,2014-08-22,2019-04-03,Administrative,Female,White,IC1
e000041,2014-09-12,2020-03-02,Production,Female,White,IC6
e000042,2014-09-24,2018-09-14,Administrative,Male,Hispanic,IC5
e000043,2014-10-08,2022-01-28,Sales,Female,White,IC4
e000044,2014-10-06,2018-12-26,Administrative,Female,Asian,M7
e000045,2014-10-28,2018-08-15,Administrative,Female,White,IC7
e000046,2014-10-23,2019-04-01,Administrative,Female,White,S2
e000047,2014-10-22,2018-01-22,Administrative,Female,Black,IC1
e000048,2014-10-23,2021-07-12,Administrative,Male,White,IC6
e000049,2014-10-10,2023-11-01,Administrative,Male,White,S2
e000050,2014-10-10,2020-12-21,Administrative,Male,White,IC2
e000051,2014-10-15,2021-04-27,Production,Male,White,IC2
e000052,2014-10-27,2024-10-01,Sales,Male,Black,IC4
e000053,2014-10-22,2023-02-10,Administrative,Male,Asian,M4
e000054,2014-10-20,2017-02-27,Production,Female,Asian,M4
e000055,2014-10-22,2020-06-23,Administrative,Male,White,IC1
e000056,2014-11-12,2023-09-13,Administrative,Female,Black,IC4
e000057,2014-11-06,2018-10-16,Production,Male,White,IC3
e000058,2014-11-18,2021-10-11,Administrative,Female,White,IC2
e000059,2014-11-24,2017-10-12,Administrative,Female,Asian,IC8
e000060,2014-12-25,2021-04-07,Sales,Male,White,S2
e000061,2014-12-09,2020-12-22,Administrative,Male,White,IC6
e000062,2014-12-05,2018-07-11,Administrative,Female,White,IC6
e000063,2014-12-05,2021-04-06,Production,Female,White,S1
e000064,2014-12-12,2021-04-28,Administrative,Male,White,S1
e000065,2014-12-22,2018-01-10,Administrative,Male,White,IC4
e000066,2014-12-30,2018-10-25,Administrative,Male,White,IC1
e000067,2015-01-02,2018-10-19,Production,Male,White,IC2
e000068,2015-01-13,2018-08-14,Administrative,Male,Asian,IC3
e000069,2015-01-05,2018-11-15,Administrative,Male,White,S2
e000070,2015-01-08,2017-04-13,Administrative,Female,White,M5
e000071,2015-01-26,2023-09-29,Administrative,Male,White,S2
e000072,2015-01-19,2018-07-05,Sales,Female,White,M4
e000073,2015-01-21,2020-05-07,Administrative,Male,White,IC6
e000074,2015-01-29,2019-03-04,Administrative,Male,White,S2
e000075,2015-01-14,2020-07-29,Administrative,Female,White,M6
e000076,2015-01-28,,Production,Female,White,S1
e000077,2015-01-20,2021-11-09,Administrative,Female,Hispanic,IC3
e000078,2015-01-06,2021-07-29,Production,Male,Hispanic,IC1
e000079,2015-01-13,2017-11-10,Administrative,Male,White,IC2
e000080,2015-01-07,2023-05-11,Administrative,Female,White,M4
e000081,2015-01-05,2018-08-01,Administrative,Female,White,M5
e000082,2015-01-23,2019-01-04,Administrative,Male,Asian,IC9
e000083,2015-01-27,2024-02-06,Sales,Male,White,IC3
e000084,2015-01-16,2024-01-12,Administrative,Female,White,M5
e000085,2015-01-09,2023-04-03,Sales,Male,White,M4
e000086,2015-01-20,2022-01-10,Administrative,Female,Asian,IC7
e000087,2015-01-19,2018-11-01,Sales,Female,Asian,S2
e000088,2015-01-02,2020-04-10,Administrative,Female,White,S2
e000089,2015-01-21,2018-05-30,Administrative,Female,White,S2
e000090,2015-01-29,2018-10-16,Sales,Male,Asian,S3
e000091,2015-01-28,2019-10-08,Production,Female,Black,M4
e000092,2015-01-26,2021-10-01,Administrative,Male,Asian,IC6
e000093,2015-01-26,2019-08-16,Administrative,Male,Asian,M5
e000094,2015-01-12,2023-03-17,Production,Male,White,IC5
e000095,2015-01-06,2020-09-01,Administrative,Female,Hispanic,S1
e000096,2015-01-02,2020-06-11,Administrative,Male,White,IC3
e000097,2015-02-02,2022-10-18,Production,Female,White,IC4
e000098,2015-02-04,2017-11-03,Production,Male,Asian,IC5
e000099,2015-02-05,2019-05-27,Administrative,Female,White,IC3
e000100,2015-02-05,2021-11-11,Administrative,Male,White,IC2
e000101,2015-02-25,2019-11-26,Production,Female,White,IC2
e000102,2015-02-05,2017-02-01,Sales,Female,Hispanic,IC1
e000103,2015-02-17,2019-09-11,Administrative,Male,White,IC1
e000104,2015-02-17,2022-02-14,Production,Female,White,IC2
e000105,2015-02-10,2023-11-02,Sales,Female,Black,S2
e000106,2015-02-10,2019-09-10,Production,Male,White,IC7
e000107,2015-02-11,2020-08-12,Sales,Female,White,IC8
e000108,2015-02-25,2023-10-17,Administrative,Male,Black,IC1
e000109,2015-02-06,2022-09-23,Production,Male,White,M7
e000110,2015-02-06,2019-08-01,Production,Female,White,M4
e000111,2015-02-06,2022-03-23,Administrative,Female,White,IC1
e000112,2015-02-09,2018-07-12,Administrative,Male,White,S2
e000113,2015-02-04,2018-08-27,Production,Female,White,S2
e000114,2015-02-24,2020-11-26,Administrative,Female,Asian,M5
e000115,2015-02-24,2018-08-31,Production,Female,White,M9
e000116,2015-02-18,2017-06-08,Production,Male,Asian,IC2
e000117,2015-02-04,2021-10-18,Production,Male,White,IC4
e000118,2015-02-26,2023-10-16,Production,Male,Hispanic,IC3
e000119,2015-02-20,2020-02-10,Production,Male,Asian,S2
e000120,2015-02-25,2018-10-02,Production,Male,White,S3
e000121,2015-02-16,2018-01-22,Sales,Male,Asian,IC1
e000122,2015-03-09,2018-08-06,Administrative,Female,Asian,S3
