employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level,ethnicity_is_underrepresented_minority
e000001,2014-01-02,,,Male,White,M11,False
e000002,2014-01-29,2019-09-19,Administrative,Female,White,S2,False
e000003,2014-01-06,,Administrative,Female,White,IC2,False
e000004,2014-01-01,2022-12-26,Administrative,Male,Asian,IC4,False
e000005,2014-01-31,2018-12-05,Administrative,Male,White,IC4,False
e000006,2014-01-01,2018-09-24,Administrative,Male,White,IC1,False
e000007,2014-01-09,2019-02-22,Administrative,Male,White,S2,False
e000008,2014-01-16,2018-04-04,Administrative,Female,Asian,IC3,False
e000009,2014-01-17,2017-02-01,Administrative,Non-binary,Asian,M4,False
e000010,2014-01-16,2022-02-07,Administrative,Female,White,S3,False
e000011,2014-01-14,2018-04-20,Administrative,Female,Black,IC2,True
e000012,2014-02-21,,Administrative,Female,Asian,IC4,False
e000013,2014-02-17,,Administrative,Female,White,S1,False
e000014,2014-02-17,,Administrative,Male,Hispanic,IC4,True
e000015,2014-02-17,2019-10-03,Administrative,Male,Black,IC5,True
e000016,2014-02-07,2019-08-08,Administrative,Non-binary,White,S3,False
e000017,2014-02-27,2019-03-12,Administrative,Male,White,M9,False
e000018,2014-04-08,,Administrative,Female,White,S1,False
e000019,2014-05-28,2018-12-18,Administrative,Male,White,IC6,False
e000020,2014-05-09,2020-01-29,Production,Male,Asian,IC2,False
e000021,2014-05-23,2018-07-09,Administrative,Male,White,S1,False
e000022,2014-05-26,,Administrative,Male,White,IC5,False
e000023,2014-05-12,2018-09-27,Administrative,Male,White,IC3,False
e000024,2014-05-13,2020-06-24,Administrative,Non-binary,White,M5,False
e000025,2014-05-27,2019-01-22,Administrative,Male,White,IC2,False
e000026,2014-05-06,,Administrative,Male,White,IC3,False
e000027,2014-05-02,,Administrative,Female,White,IC2,False
e000028,2014-06-20,2019-09-06,Administrative,Male,Asian,IC7,False
e000029,2014-06-23,2024-03-06,Administrative,Male,Hispanic,IC4,True
e000030,2014-06-25,2019-06-27,Administrative,Male,White,IC3,False
e000031,2014-06-24,2019-12-30,Administrative,Female,White,S3,False
e000032,2014-06-27,2017-09-26,Administrative,Female,White,M5,False
e000033,2014-06-26,2018-09-12,Administrative,Male,Asian,IC2,False
e000034,2014-06-26,2018-06-11,Administrative,Non-binary,White,IC5,False
e000035,2014-06-16,2021-01-18,Administrative,Male,Asian,IC1,False
e000036,2014-08-08,2021-03-25,Sales,Female,Black,S1,True
e000037,2014-08-15,2019-12-05,Production,Male,Asian,IC6,False
e000038,2014-08-12,2022-11-23,Administrative,Female,White,M4,False
