employee_id,hire_date,termination_date,org_l01,gender,ethnicity,job_level,ethnicity_is_underrepresented_minority,org_l00,org_l02,org_l03,termination_date_clean,termination_reason,is_termination_voluntary,job_level_category,job_level_category_ordered_w_indicators,job_track,job_level_idx,is_manager_track,employee_tenure_current_month_year,employee_tenure_duration_bucket,gender_remapped,ethnicity_remapped
e000001,2014-01-02,,,Male,White,M11,FALSE,Company Inc.,,,2999-12-31,,,SVP,10--SVP (M11),M,11,TRUE,11.00069013,05--4+ years,Male,00--White
e000002,2014-01-29,2019-09-19,Administrative,Female,White,S2,FALSE,Company Inc.,Legal,Corporate,2019-09-19,Work/Life Balance,TRUE,Support,01--Support (S1-3),S,2,FALSE,5.242236025,05--4+ years,Female/Non-binary,00--White
e000003,2014-01-06,,Administrative,Female,White,IC2,FALSE,Company Inc.,Communications,Commercials,2999-12-31,,,Associate,02--Associate (IC1-3),IC,2,FALSE,10.98964803,05--4+ years,Female/Non-binary,00--White
e000004,2014-01-01,2022-12-26,Administrative,Male,Asian,IC4,FALSE,Company Inc.,IT Services,Information Security,2022-12-26,Management,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,1.946169772,02--1-2 years,Male,01--Asian
e000005,2014-01-31,2018-12-05,Administrative,Male,White,IC4,FALSE,Company Inc.,IT Services,Information Security,2018-12-05,Company Culture,TRUE,Senior,03--Senior (IC4-5),IC,4,FALSE,6.037267081,05--4+ years,Male,00--White
e000006,2014-01-01,2018-09-24,Administrative,Male,White,IC1,FALSE,Company Inc.,IT Services,Information Security,2018-09-24,Company Confidence,TRUE,Associate,02--Associate (IC1-3),IC,1,FALSE,6.236024845,05--4+ years,Male,00--White
e000007,2014-01-09,2019-02-22,Administrative,Male,White,S2,FALSE,Company Inc.,IT Services,Information Security,2019-02-22,Position Elimination,FALSE,Support,01--Support (S1-3),S,2,FALSE,5.819185645,05--4+ years,Male,00--White
e000008,2014-01-16,2018-04-04,Administrative,Female,Asian,IC3,FALSE,Company Inc.,People,People Analytics,2018-04-04,Position Elimination,FALSE,Associate,02--Associate (IC1-3),IC,3,FALSE,6.713595583,05--4+ years,Female/Non-binary,01--Asian
e000009,2014-01-17,2017-02-01,Administrative,Non-binary,Asian,M4,FALSE,Company Inc.,Communications,Marketing,2017-02-01,Company Culture,TRUE,Manager,06--Manager (M4-6),M,4,TRUE,7.892339545,05--4+ years,Female/Non-binary,01--Asian
e000010,2014-01-16,2022-02-07,Administrative,Female,White,S3,FALSE,Company Inc.,Communications,Marketing,2022-02-07,Inability to Work Remotely,TRUE,Support,01--Support (S1-3),S,3,FALSE,2.835058661,03--2-3 years,Female/Non-binary,00--White
e000011,2014-01-14,2018-04-20,Administrative,Female,Black,IC2,TRUE,Company Inc.,IT Services,IT Support,2018-04-20,Management,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,6.669427191,05--4+ years,Female/Non-binary,02--Minority
e000012,2014-02-21,,Administrative,Female,Asian,IC4,FALSE,Company Inc.,Legal,Regulatory and Compliance,2999-12-31,,,Senior,03--Senior (IC4-5),IC,4,FALSE,10.86266391,05--4+ years,Female/Non-binary,01--Asian
e000013,2014-02-17,,Administrative,Female,White,S1,FALSE,Company Inc.,Communications,Commercials,2999-12-31,,,Support,01--Support (S1-3),S,1,FALSE,10.873706,05--4+ years,Female/Non-binary,00--White
e000014,2014-02-17,,Administrative,Male,Hispanic,IC4,TRUE,Company Inc.,Finance,Accounting,2999-12-31,,,Senior,03--Senior (IC4-5),IC,4,FALSE,10.873706,05--4+ years,Male,02--Minority
e000015,2014-02-17,2019-10-03,Administrative,Male,Black,IC5,TRUE,Company Inc.,Finance,Investor Relations,2019-10-03,Limited Internal Mobility Options,TRUE,Senior,03--Senior (IC4-5),IC,5,FALSE,5.203588682,05--4+ years,Male,02--Minority
e000016,2014-02-07,2019-08-08,Administrative,Non-binary,White,S3,FALSE,Company Inc.,Communications,Commercials,2019-08-08,Role Mismatch,TRUE,Support,01--Support (S1-3),S,3,FALSE,5.358178054,05--4+ years,Female/Non-binary,00--White
e000017,2014-02-27,2019-03-12,Administrative,Male,White,M9,FALSE,Company Inc.,People,Recruiting,2019-03-12,Mutual Separation,FALSE,Director,08--Director (M8-9),M,9,TRUE,5.769496204,05--4+ years,Male,00--White
e000018,2014-04-08,,Administrative,Female,White,S1,FALSE,Company Inc.,People,People Analytics,2999-12-31,,,Support,01--Support (S1-3),S,1,FALSE,10.73567978,05--4+ years,Female/Non-binary,00--White
e000019,2014-05-28,2018-12-18,Administrative,Male,White,IC6,FALSE,Company Inc.,Legal,Corporate,2018-12-18,Gross Misconduct,FALSE,Staff,04--Staff (IC 6-7),IC,6,FALSE,6.001380262,05--4+ years,Male,00--White
e000020,2014-05-09,2020-01-29,Production,Male,Asian,IC2,FALSE,Company Inc.,Software,Front-End Development,2020-01-29,Dissatisfied with Performance Feedback,TRUE,Associate,02--Associate (IC1-3),IC,2,FALSE,4.877846791,05--4+ years,Male,01--Asian
